Customer_Birthyear,Customer_Gender,Customer_credit_rating,Customer_flag_change_of_authentication_1,Customer_flag_change_of_authentication_2,Customer_flag_change_of_authentication_3,Customer_flag_change_of_authentication_4,Customer_rooting_jailbreak_indicator,Customer_mobile_roaming_indicator,Customer_VPN_Indicator,Customer_loan_type,Customer_flag_terminal_malicious_behavior_1,Customer_flag_terminal_malicious_behavior_2,Customer_flag_terminal_malicious_behavior_3,Customer_flag_terminal_malicious_behavior_4,Customer_flag_terminal_malicious_behavior_5,Customer_flag_terminal_malicious_behavior_6,Customer_inquery_atm_limit,Customer_increase_atm_limit,Account_account_type,Account_initial_balance,Account_balance,Account_indicator_release_limit_excess,Account_amount_daily_limit,Account_indicator_Openbanking,Account_remaining_amount_daily_limit_exceeded,Account_release_suspention,Account_one_month_max_amount,Account_one_month_std_dev,Account_dawn_one_month_max_amount,Account_dawn_one_month_std_dev,Transaction_Amount,Channel,Operating_System,Error_Code,Transaction_Failure_Status,Type_General_Automatic,Access_Medium,Transaction_num_connection_failure,Another_Person_Account,Distance,Time_difference,Unused_terminal_status,Flag_deposit_more_than_tenMillion,Unused_account_status,Recipient_account_suspend_status,Number_of_transaction_with_the_account,Transaction_history_with_the_account,First_time_iOS_by_vulnerable_user,Fraud_Type
1982.0,male,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,c,13537731.0,14920662.0,0.0,1981448.0,1.0,2005342.0,1.0,5851644.0,0.0,32572.0,0.0,3460025.0,Others,Windows,a,0.0,general,a,0.0,1.0,220.3821900964149,1 days 07:25:17,1.0,1.0,0.0,1.0,1.0,1.0,0.0,m
1969.0,female,A,1.0,1.0,0.0,1.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,c,14447434.0,12444505.0,1.0,8888206.0,0.0,1709761.0,1.0,27674571.0,6509610.0,2850185.0,214203.0,2678581.0,Others,Windows,a,0.0,general,b,0.0,1.0,235.75890925567938,-4297 days +20:36:59,1.0,0.0,1.0,1.0,0.0,0.0,0.0,m
1983.0,female,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,c,13989626.0,15676146.0,1.0,9946481.0,1.0,979136.0,1.0,1825959.0,0.0,5124448.0,721872.0,-1568195.0,Others,Windows,a,0.0,general,b,0.0,1.0,215.8620016866432,-1 days +22:38:27,1.0,0.0,1.0,0.0,0.0,0.0,0.0,m
1966.0,female,A,1.0,0.0,1.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,b,5839775.0,5360005.0,0.0,1916002.0,1.0,1357157.0,1.0,3963306.0,0.0,15277.0,0.0,1171214.0,internet,Android,a,0.0,general,a,0.0,1.0,96.04170533716784,2 days 22:10:22,1.0,0.0,1.0,1.0,0.0,0.0,0.0,m
1971.0,female,B,0.0,1.0,1.0,1.0,0.0,0.0,0.0,a,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,c,11537595.0,11309245.0,0.0,1999673.0,1.0,1996873.0,1.0,42367521.0,16554115.0,2981788.0,2548301.0,2103258.0,internet,Android,a,0.0,general,b,0.0,1.0,110.60617665418064,1 days 06:51:22,1.0,0.0,1.0,1.0,0.0,0.0,0.0,m
1986.0,male,C,0.0,1.0,1.0,1.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,13924339.0,11827033.0,1.0,10038407.0,1.0,1075557.0,1.0,7971655.0,181873.0,986921.0,45811.0,-3385260.0,internet,Windows,a,0.0,general,b,0.0,1.0,199.32504181585787,1 days 20:09:28,1.0,0.0,1.0,0.0,0.0,0.0,0.0,m
1966.0,female,C,1.0,1.0,1.0,1.0,1.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,c,12110615.0,12319063.0,0.0,1011572.0,1.0,997164.0,0.0,11936760.0,1874796.0,7287247.0,2802534.0,3343746.0,mobile,Android,a,0.0,general,b,2.0,1.0,242.74994438747942,2 days 17:29:30,1.0,0.0,0.0,0.0,0.0,1.0,0.0,m
1974.0,male,B,0.0,0.0,1.0,0.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,d,18558142.0,14288806.0,0.0,2008574.0,1.0,1987904.0,1.0,12076403.0,1784619.0,996270.0,236957.0,3005596.0,Others,Others,a,0.0,general,a,0.0,1.0,311.117403876881,4 days 10:03:16,1.0,1.0,1.0,0.0,0.0,0.0,0.0,m
1964.0,female,A,0.0,1.0,1.0,1.0,0.0,0.0,0.0,a,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,a,14945386.0,11720166.0,1.0,19864914.0,1.0,1993254.0,1.0,13699143.0,4993021.0,3430187.0,805101.0,-15518.0,mobile,Others,a,0.0,general,a,0.0,1.0,132.10404840470653,0 days 23:58:52,1.0,1.0,1.0,1.0,0.0,0.0,0.0,m
1968.0,female,B,1.0,1.0,1.0,1.0,0.0,0.0,1.0,c,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,a,8573447.0,13121594.0,0.0,2010147.0,1.0,1968014.0,0.0,48332928.0,13444981.0,17549344.0,5821529.0,6135553.0,internet,Others,a,0.0,general,a,0.0,1.0,217.31650643480313,1 days 10:20:39,1.0,0.0,1.0,0.0,0.0,0.0,0.0,m
